index,familia,latin name,migrant,portugues,english,iucn,mma,description
233,Tyrannidae,Elaenia chiriquensis ,MPR:  ,chibum,Lesser Elaenia,,," occurs from Costa Rica to eastern Brazil and northeastern Argentina. It is considered resident in most of its distribution (Hosner, 2004b), but some individuals migrate to breed (Jahn et al., 2004). The coexistence of migratory and resident populations  hinders the identification of flyways (Marini & Cavalcanti, 1990). There seems to be a population quite common in Central Brazil between August and December that also breeds there and fly north during winter (Hosner, 2004b; Medeiros & Marini, 2007) and west to the Amazonian region (Sick, 1983, 1997; Marini & Cavalcanti, 1990). This migratory pattern is corroborated by an absence of records south of Bras�lia/DF and Cuiab�/MT between June and August (Marini & Cavalcanti, 1990). Nevertheless, a study using stable isotope analysis of tissues of individuals from this population reveals that individuals never leave the Cerrado for molting and wintering (Guaraldo et al., 2016). In addition, unpublished data from Charles G. Duca reports a quick passage of individuals through the coast of ES in February that were molting flight feathers, which suggests that the southeast coast of Brazil may be a stopover or molting ground for this species."
236,Tyrannidae,Myiopagis viridicata ,MPR:  ,guaracava-de-crista-alaranjada,Greenish Elaenia,,," occurs from Mexico to Venezuela and Ecuador, also in Guyana, Peru, Bolivia, Paraguay, Argentina and virtually all of Brazil. It is mainly resident, but populations in extreme southern Brazil migrate north after the breeding season (Fitzpatrick, 2004). Photographic records restricted to the period between September and May in PR, SC and RS corroborate this, while in other states it is found throughout the year (Belton, 1985; WikiAves, 2016)."
237,Tyrannidae,Serpophaga munda ,MPR:  ,alegrinho-de-barriga-branca,White-bellied Tyrannulet,,," breeds in Argentina between October and January and flies to lower elevations, to the north and east of the Chaco and to Patagonian lowlands during austral winter, with some individuals flying to coastal regions in southeastern of Brazil and Uruguay (Fitzpatrick, 2004). It migrates every year from the Andes to the Pantanal during colder periods (D. Oliveira, pers. comm.), as shown by recaptures in the Pantanal Matogrossense National Park in June 2013 (Cemave, unpublished data). All photographic and sound records available are for RS and are distributed throughout the year (WikiAves, 2016), which suggests a resident population (even though there is no evidence of breeding activity). Because of its migratory behavior in the Pantanal, this species was considered partially migratory."
238,Tyrannidae,Legatus leucophaius ,MPR:  ,bem-te-vi-pirata,Piratic Flycatcher,,," occurs from Mexico to northern Argentina and in all of Brazil (Mobley & Kirwan, 2016). It has been considered a migratory species (Jahn & Cueto, 2012), and records for the northeastern, southeastern and southern regions are centered in the period between September and March (Belton, 1985; Antunes et al., 2013; WikiAves, 2016; MZUSP; MNRJ). However, the species is recorded all year round for the northern region (WikiAves, 2016; MZUSP; MPEG) and there is evidence of breeding activity for all of Brazil between September and February (WikiAves, 2016), which characterizes it as a partially migratory species."
239,Tyrannidae,Myiarchus swainsoni ,MPR:  ,irr�,Swainson's Flycatcher,,," the subspecies M. s. swain? soni occurs in the most meridional regions of South America, breeds in the temperate zones of Argentinaand overwinters in northern South America (Sick, 1997; Joseph, 2004; Cueto et al., 2008). In Brazil, it breeds in RS (Belton, 1985; Maur�cio et al., 2013), where it is considered an austral migrant (Accordi & Hartz, 2013). Photographic, museum records and banding data in RS are centered on the period between September and April (Belton, 1985; SNA, 2016; WikiAves, 2016; MZUSP) as well as for SC and PR (WikiAves, 2016; MZUSP). In SP, it has been regarded as migratory (Willis, 2004; Silva-e-Silva & Olmos, 2007; Antunes et al., 2013), but photographic records and banding data show its presence in all months of the year (SNA, 2016; WikiAves, 2016). Sedentary populations may be represented by the subspecies M. s. pelzelni in Central Brazil (Lanyon, 1982), but preliminary data and capture records suggest a migratory pattern for this subspecies around Bras�lia/DF, as seen as the result of a pilot project with geolocators and isotopic analyses in Bras�lia and in Chapada dos Guimar�es/MT (A. Guaraldo, pers. obs.)."
240,Tyrannidae,Casiornis fuscus ,MPR:  ,caneleiro-enxofre,Ash-throated Casiornis,,," endemic to Brazil and occurs in the southern Amazon from lower Tapaj�s River east to PE and south to northeastern MT and central MG, including the entire Caatinga and part of the Cerrado (Scholes, 2004; Scholes & Boesman, 2016). As stated by Sick (1997), it seems to be present in the north of its distribution only as a visitor during winter. This statement was recently confirmed and deepened a space-time analysis of historic records of museum specimens, field observations and digital vouchers at WikiAves and e?bird (Lees, 2016). In this analysis, a migratory pattern from part of the Caatinga and adjacent ecotones was identified, where records are centered in the period between December and March, expanding west to northern Cerrado and eastern Amazon between June and September. Although it can be recorded throughout the year in the Caatinga, where it also breeds, as corroborated by banding data (SNA, 2016), its occurrence in the Amazon is restricted to the period between April and October, when they use mainly open formations and young secondary forests as wintering areas (Lees, 2016)."
241,Tyrannidae,Pitangus sulphuratus ,MPR:  ,bem-te-vi,Great Kiskadee,,," occurs from extreme southern USA to Argentina. Its migratory habits are little known and it is resident in most of its distribution. It seems to depart from higher altitudes and colder regions in southern Brazil during austral winter (Mobley, 2004a). One individual banded in Santiago del Estero, Argentina was recovered in SC in January (Olrog, 1969). There are large numbers of this species in Serra da Bodoquena in western MS during winter and then it disappears during summer, which suggests a west-east movement through the Argentinian Chaco region to Brazil (Capllonch et al., 2009). During a banding course in the Pantanal Matogrossense National Park in July 2013, 11 individuals were captured simultaneously in two mist nets (Cemave, unpublished data). However, further studies are necessary to better understand this species movement patterns."
242,Tyrannidae,Myiodynastes maculatus ,MPR:  ,bem-te-vi-rajado,Streaked Flycatcher,,," occurs from Mexico to Argentina and in all of Brazil (Mobley, 2004b). It is considered migratory (Jahn & Cueto, 2012) in the extreme north and south of its distribution and seems to move altitudinally (Mobley, 2004b), but this is yet to be confirmed. It breeds in almost all of Brazil from September to April (SNA, 2016; WikiAves, 2016) and, according to Sick (1983), it departs from southern regions in the winter to join the sedentary populations from the north (Sick, 1983). Photographic records (WikiAves, 2016) and banding data (SNA, 2016) confirm its presence all year round in all of Brazil, but in the southeastern and southern regions they are centered in the period between September and April, which suggests a winter migration that should be better studied. Central-western records are far more numerous in the period of August to December (WikiAves, 2016)."
243,Tyrannidae,Tyrannus albogularis ,MPR:  ,suiriri-de-garganta-branca,White-throated Kingbird,,," occurs from Venezuela to the Guianas south to northern Bolivia and Brazil. It has been classified as an austral migrant, but its movement pattern is not fully known and populations further north of the distribution may be resident. During austral winter (approximately from May to August), it migrates west through the Amazon, reaching extreme southeastern Colombia, eastern Ecuador and northeastern Peru (Mobley, 2004c). Photographic records and banding data show that the species breeds in Brazil between October and April in PA, RN, TO, GO, MG and SP. Its occurrence records are sparse throughout the year in the national territory (SNA, 2016; MZUSP; MPEG). However, there are fewer records in GO, MG and SP between May and August than in the rest of the year (SNA, 2016; MZUSP; MPEG), which suggests a reduction in population during winter. Further studies are necessary to understand its migratory pattern."
244,Tyrannidae,Tyrannus melancholicus ,MPR:  ,suiriri,Tropical Kingbird,,," occurs from extreme southwestern USA to central Argentina and in all of Brazil (Mobley, 2004d). Populations from southern Brazil remain in their breeding area only during the hotter months of the year and depart during winter (Sick, 1997), which classifies it as migratory (Jahn & Cueto, 2012) in part of its distribution (Mobley, 2004d). Museum records and banding data are restricted to the period between October and March in PR, SC and RS, and in MG, RJ and SP it is centered on September to March, when there are far more records (Belton, 1985; Accordi & Hartz, 2013; SNA, 2016; MZUSP; MPEG). However, the species is recorded all year round in the entire national territory and there is an overlap of resident and migrant populations, whose individuals can be morphologically differentiated by their wings (Jahn et al., 2010). Evidence of breeding activity is available for almost all Brazilian states (SNA, 2016; WikiAves, 2016)."
245,Tyrannidae,Tyrannus savana ,MPR:  ,tesourinha,Fork-tailed Flycatcher,,," occurs from southern Mexico to Argentina and all of Brazil, with both resident and migratory populations, whose movement patterns are not fully understood (Mobley, 2004e). It breeds in Argentina and southern Brazil from September to February and then flies north in flocks (Sick, 1983; Belton, 1985; Cueto et al., 2008; Azpiroz et al., 2012). It overwinters in the Amazon, but not always does the entire population migrate. During the non-breeding season (March to September), individuals of meridional populations invade areas of the sedentary septentrional populations. This species migrates in flocks that use different pathways to fly to and from the Amazon Basin, where they gather by the hundreds or even thousands (Sick, 1997). Three pairs captured in their breeding territory in Argentina and monitored by geolocators bred from late November to mid-January, started fall migration between late January and late February, and then migrated to the northwest, heading to northern South America and using one or two wintering grounds. Five individuals stayed in the western Amazon (mainly in Peru, northwestern Brazil and southern Colombia) for several weeks in April and May before flying to spend the rest of the non-breeding season in central Venezuela and northern Brazil. Fall migration lasted between 7 and 12 weeks and covered a distance of 2,888 to 4,105 km (Jahn et al., 2013b). According to photographic records and banding data, it occurs in the southeastern and southern regions of Brazil only from September to March, when it breeds (Belton, 1985; SNA, 2016; WikiAves, 2016). According to the literature, in the Amazonian region, it occurs all year round but it is but it is represented by both resident and migratory individuals (SNA, 2016; WikiAves, 2016). It has been recently discovered through geolocation data that individuals breeding in SP overwinter mainly in Colombia and Venezuela (Jahn et al., 2016)."
246,Tyrannidae,Griseotyrannus aurantioatrocristatus ,MPR:  ,peitica-de-chap�u-preto,Crowned Slaty Flycatcher,,," breeds in temperate zones in Argentina and migrates during austral winter to hotter, more humid latitudes in South America (Cueto et al., 2008). Part of its population is migratory and part is resident (Jahn et al., 2004). The nominotypical subspecies breeds in northern and eastern Bolivia, central-western and southern Brazil, northern and central Argentina, Paraguay and Uruguay; is migratory and flies mainly to western Amazonia. During the non-breeding season, it is recorded in northeastern Peru, eastern Ecuador, southeastern Colombia, Brazil � in AC, RO, AM and PA �, extreme southern Venezuela and southern Guyana. The subspecies G. a. pallidiventris occurs from eastern PA to MA and PI and in GO (Mobley, 2004g) and is sedentary. In Brazil, photographic records showing evidence of breeding activity are scarce and they are restricted to the period between October and December in BA, GO, MG, SP (WikiAves, 2016) and RS (Belton, 1985). Occurrence records and banding data show its presence in central-western, southeastern and southern regions between September and January, while in the Amazonian region it can be observed throughout the year (SNA, 2016; WikiAves, 2016), probably due to the existence of a resident population and a seasonal increment of migratory individuals."
247,Tyrannidae,Empidonomus varius ,MPR:  ,peitica,Variegated Flycatcher,,,"   occurs in almost the entire continent of South America (except in the Andes and extreme south of the continent), and is migratory in the west and south of its distribution (Fitzpatrick, 2004).  Brazil, two subspecies occur: E. v. rufino, in Venezuela, Guianas, northern and eastern Brazil; and E. v. varius, in Bolivia, central and southern Brazil, northern Argentina, Paraguay and Uruguay, which seems to be migratory (Mobley, 2004h). Photographic records show evidence of breeding activity in the Amazonian region and in the northeastern, southeastern and southern regions from October to February (WikiAves, 2016). This, alongside banding data, shows its presence all year round in the northern region (SNA, 2016). In Caatinga regions in Northeast Brazil, its occurrence may be related to the rainy season, when there is a larger concentration of individuals between December and June. This pattern should be studied further. In the central-western, southeastern and southern regions, the species occurs mainly between September and April (SNA, 2016; WikiAves, 2016; MZUSP), as already stated in the literature for SP (Aleixo & Galetti, 1997; Willis, 2004; Antunes et al., 2013) and RS (Belton, 1985). It seems to fly to the northern region during winter (Sick, 1983), where the resident population receives an increment of migrant individuals."
250,Tyrannidae,Myiophobus fasciatus ,MPR:  ,filipe,Bran-colored Flycatcher,,," occurs from Costa Rica to northeastern Argentina, and is recorded in all of Brazil. It is resident, but there are migratory populations in the south of its distribution (Farnsworth & Lebbin, 2004e). In Brazil, it breeds in RS (Maur�cio et al., 2013), where it is considered migratory (Accordi & Hartz, 2013). Banding data and photographic records show its presence in this state between September and April, and only two individuals were banded outside of this period (one in May and another in June). In all other states the species is present all year round (SNA, 2016; WikiAves, 2016)."
251,Tyrannidae,Sublegatus modestus ,MPR:  ,guaracava-modesta,Southern Scrub-Flycatcher,,," migratory in the south of its distribution. Populations that breed in Argentina migrate to the Amazon during winter (Robbins, 2004; Cueto et al., 2008; Capllonch et al., 2009). Records for RS are restricted to the western region and are centered in the summer from October to February with evidence of breeding activity (Belton, 1985), despite a specific record in June (WikiAves, 2016). Photographic records and banding data are pretty scarce for the Amazon Basin (SNA, 2016; WikiAves, 2016), but they are restricted to the period between April and August in AC, RO, AP and the Amazonian region in MT, which confirms the migratory pattern suggested in the literature (WikiAves, 2016). It is still not securely known if the Amazonian populations are exclusively composed of austral migrants (Sick, 1997) or if there is a resident population in there. Studies with this species in this region are necessary."
252,Tyrannidae,Pyrocephalus rubinus ,MPR:  ,pr�ncipe,Vermilion Flycatcher,,," occurs from southern USA to south-central South America, and it is migratory in most of its distribution. It breeds in southeastern Bolivia, Paraguay, northern Argentina, Uruguay and southeastern and southern Brazil, and it overwinters mainly east of the Andes north to as far as southeastern Colombia, eastern Ecuador, northeastern Peru and the Brazilian Amazon (Fitzpatrick, 1980; Sick, 1983; Jahn et al., 2004; Farnsworth & Lebbin, 2004f). In other areas, it moves altitudinally (Fitzpatrick, 2004). Adults from the population that breeds in Argentina depart to Ecuador and Colombia immediately after breeding, while the young remain for three more months and depart only when winter is near, in late April. Populations from southern Brazil migrate during winter and invade areas from resident populations in Central Brazil and in the Amazon (Sick, 1997). The species breeds in RS (Belton, 1985; Maur�cio et al., 2013) and PR (WikiAves, 2016). Photographic records show its presence all year round in almost the entire Brazilian territory, except for the Northeast, where there are records only for BA between May and November (WikiAves, 2016). In RS, records are also distributed in the entire year, but they are scarce from May to July (WikiAves, 2016)."
253,Tyrannidae,Fluvicola albiventer ,MPR:  ,lavadeira-de-cara-branca,Black-backed Water-Tyrant,,," breeds from northern central and eastern Brazil to eastern Bolivia, Paraguay, northern Argentina and western Uruguay. It occurs as a winter migrant in the western Brazilian Amazon, southeastern Peru, northern Bolivia. There are few records for northeastern Peru and is alsoVAGrant in Ecuador (Farnsworth & Langham, 2004b). In Brazil, according to photographic records (WikiAves, 2016) and banding data (SNA, 2016), the species seems to be resident in the Southeast and Northeast regions. Records are scarce in the south of the country and they seem to be centered in the period between July and December for the Amazonian region, even though in AM it was also recorded in January and February (SNA, 2016; WikiAves, 2016; MZUSP; MPEG). Its seasonality in the Amazon was important for its classification as partially migratory, but moving patterns are not well defined and further studies are necessary."
254,Tyrannidae,Lathrotriccus euleri ,MPR:  ,enferrujado,Euler's Flycatcher,,," occurs in Venezuela, Colombia, Guianas, Ecuador, Peru, Bolivia, Argentina, Paraguay, Uruguay and the entire Brazil. It is mainly resident, but populations from the south migrate north during winter (Farnsworth & Lebbin, 2004g) in July, and return in January (Joseph, 1996). According to photographic records, the species is present in the Southeast and Central-West regions all year round and records are scattered along the year without an apparent pattern. In the South (PR, SC and RS), the species vanishes during winter, especially in June and July (WikiAves, 2016). In RS, data from band recovery suggests fidelity to site and period (Belton, 1985)."
255,Tyrannidae,Hymenops perspicillatus ,MPR:  ,viuvinha-de-�culos,Spectacled Tyrant,,," occurs in Chile, Argentina, Paraguay, Uruguay, Bolivia and Brazil. It is resident in part of southern Brazil, but migratory in the southeast, moving north during winter (Farnsworth & Lebbin, 2004h) and remaining in the breeding area only in the hotter months of the year (Sick, 1997). This species is recorded all year round for RS and SC (WikiAves, 2016), which indicate that it is resident in these states (Belton, 1985). However, records for PR, SP, RJ, MS and MT are restricted to the period between April and November (WikiAves, 2016)."
256,Vireonidae,,MPR:  ,,,,,
257,Vireonidae,Vireo chivi ,MPR:  ,juruviara,Chivi Vireo,,," breeds between late September and early April in central western and southern Peru, Brazil � in BA, GO, MT, RJ, SP, PR, SC and RS (WikiAves, 2016) �, west-central Paraguay and northern Argentina as far as Buenos Aires, between 15�S and 36�S (Capllonch & Wagner, 2009; Brewer & Orenstein, 2010). In SP, records are restricted to the period between September and March (Aleixo & Galetti, 1997; Machado, 1997; Willis, 2004; Antunes et al., 2013; MZUSP), as well as in PR (Vallejos et al., 2011; MZUSP), the Pantanal (Nunes & Tomas, 2008), and MS (Nunes et al., 2011). In PE, records are centered in the period between October and February (W. Telino-J�nior, pers. obs.), while in SE it has been recorded only in December (Ruiz-Esparza et al., 2011). For RS, there are records between September and May (Belton, 1985) and for RJ all year round, but it is usually silent between April and August as it follows mixed-species flocks (J.F. Pacheco, pers. obs.). After breeding, it moves to the Amazon and southern Venezuela, where it remains during austral winter (Capllonch & Wagner, 2009; Brewer & Orenstein, 2010). Its wintering areas are little known, but there are reports for Jaragu�/GO and Chapada dos Guimar�es/MT (Capllonch & Wagner, 2009)."
258,Hirundinidae,,MPR:  ,,,,,
259,Hirundinidae,Stelgidopteryx ruficollis ,MPR:  ,andorinha-serradora,Southern Rough-winged Swallow,,," occurs from Costa Rica to northeastern Argentina; it seems to be resident in the north and migratory in the south of its distribution, forming large flocks after the breeding season (Turner, 2004). The only subspecies in Brazil, S. r. ruficollis, occurs in southeastern Colombia, eastern Venezuela, Guianas and Brazil to eastern Peru, Bolivia, northern and northeastern Argentina and Uruguay. It has been recorded in Colombia and Suriname during the non-breeding season and it seems to also occur in neighboring countries. However, its distribution during the non-breeding season is still unknown (Turner, 2016b). This species seems to occur in tropical, hot, humid lowlands during winter in the Southern Hemisphere and fly between breeding areas in January, and non-breeding areas in July (Joseph, 1996). In Brazil, according to photographic records and banding data, it is resident in almost the entire national territory, except for RS (Accordi & Hartz, 2013) and SC, from where it vanishes in June and July (SNA, 2016; WikiAves, 2016)."
260,Hirundinidae,Progne tapera ,MPR:  ,andorinha-do-campo,Brown-chested Martin,,," activity in BA, MS, GO, MG, RJ, SP, PR, SC (WikiAves, 2016) and RS (Belton, 1985; Maur�cio et al., 2013). In RS, it is considered an austral migrant (Accordi & Hartz, 2013) � present from September to May (Belton, 1985) �, as well as in SC (WikiAves, 2016). In the region of Cama�ari/BA, both subspecies were recorded between May and August, and one individual of P. t. fusca banded in Cama�ari in May was recovered in Serra do Cara�a/MG in December, probably returning from the north (Vasconcelos et al., 2003). the nominotypical subspecies is resident and occurs from northern South America and Central America to the Amazonian region and northeastern Brazil. The subspecies P. t. fusca is migratory; breeds in eastern Bolivia, Argentina, southeastern and southern central Brazil; and migrates to northern South America and Panama. It gathers in large flocks of hundreds or thousands of individuals after the breeding season, and eventually joins other swallows (Turner, 2004). These populations reach Central America usually in large numbers, where they join resident populations of P. t. ta? pera (Sick, 1997). In Brazil, there is evidence of breeding"
261,Hirundinidae,Progne chalybea ,MPR:  ,andorinha-grande,Gray-breasted Martin,,," occurs from Mexico to northern Argentina and exhibits a migratory pattern in the south part of its distribution (Turner, 2004), where it is represented by the subspecies P. c. macrorhamphus (Grantsau, 2010). It begins nesting in RJ and MT in August-September, and departs from southern and central Brazil in the fall (March-May), when it migrates to the north of the continent, where there is a resident Amazonian population (P. c. chalybea). Large flocks have been recorded in ES (February), AM (July) and MT (October) (Sick, 1997). In RS, it breeds from October to December (Belton, 1985; Maur�cio et al., 2013; WikiAves, 2016) where it is considered migratory (Accordi & Hartz, 2013). According to photographic records, there is also evidence of breeding activity in the Amazon and in the Southeast and South regions. In addition, it is present in SP, PR, SC and RS all year round (WikiAves, 2016), which suggests a need for further studies to confirm if only part of its population is migratory."
262,Hirundinidae,Petrochelidon pyrrhonota ,MPR:  ,andorinha-de-dorso-acanelado,Cliff Swallow,,," breeds in North America between late April and early August, and remains during boreal winter in South America, gathering in flocks that can reach thousands of birds. Individuals depart from their colonies between July and September, reach South America between October and December and return between February and April (Turner, 2004). Specimens banded as chicks in the USA in June were recovered in SC and SP in Brazil in January (Sick, 1997), which confirms that the Southeast and South regions of Brazil are wintering areas. In Bras�lia/DF, it is extremely localized when passing through to the south in early October (Antas, 1987). In the region of Itirapina/SP, it has been recorded from late October to November, including in large numbers (around 850 individuals) in 1992 (Willis, 2004). In RS, it has been recorded from September to April (Belton, 1985), and there seems to be a recently established breeding population in the southeast of the Pampas in South America (Azpiroz et al., 2012). Photographic records in Brazil are centered in the period between October and April (WikiAves, 2016), which confirms the known migratory pattern."
263,Turdidae,,MPR:  ,,,,,
264,Turdidae,Turdus amaurochalinus ,MPR:  ,sabi�-poca,Creamy-bellied Thrush,,," occurs in Peru, Bolivia, Paraguay, central and northern Argentina, Chile, Uruguay and almost all of Brazil (Collar & Juana, 2015), but with few records for the Amazon. During austral winter, many individuals fly northwards, and flocks fly over RJ in late April and early May, reaching MA and eastern PA (Sick,  1997) mainly between June and October. The large number of individuals of this species in the southeast coast of Brazil between June and July may be because of immigrants coming from regions further south (Collar & Juana, 2015). During migration, a large number of individuals from southern population cross the marshes east of Tucum�n and west of Santiago del Estero in Argentina to Bolivia and Peru between May and June. Another part of the migration occurs east going up along the Atlantic coast to northeastern Brazil. The return migration in spring starts in October in northern Argentina. There is a population that is supposed to be resident in the convergence zone of the Paran� and Uruguay Rivers, in a large region of deltas and marshes in the provinces of Entre R�os and Buenos Aires (Capllonch et al., 2008). The species breed in multiple localities � CE, MS, GO, MG, RJ, SP, PR, RS � in Brazil (WikiAves, 2016; Maur�cio et al., 2013). Photographic and museum records document its presence mainly from September to January in southeastern and southern regions, while in central-western and northeastern Brazil they seem to be irregularly spread throughout the year (WikiAves, 2016; MZUSP; MNRJ; MPEG). Although these records do not suggest a migratory pattern probably due to the coexistence of resident and migratory populations, banding and recovery data confirms is movement between the south of the country and RJ in January and June respectively (SNA, 2016)."
267,Turdidae,Turdus subalaris ,MPR:  ,sabi�-ferreiro,Eastern Slaty Thrush,,," occurs in Paraguay, Argentina and central-western, southeastern and southern regions of Brazil (Collar, 2016). The cis-andean population is migratory, breeds in southern Brazil, Argentina and the border with Paraguay, and seems to overwinter in the eastern part of the Cerrado/Amazon transition, flying over Bras�lia/DF between September and October (Antas & Valle, 1987; Ferreira & Bagno, 2000; WikiAves, 2016). In addition, there are records for PA (Somenzari et al., 2011), TO (Pinheiro et al., 2008), RJ (Pacheco et al., 2010), MT, GO, BA, MG, SP, PR, SC and RS (Grantsau, 2010). In SC and RS, it has been recorded in large numbers from September to April and there is also evidence of breeding activity (Belton, 1985; Maur�cio et al., 2013). Museum records are centered in the period of April-September in the states of PA, TO, MT, GO, BA, SP and SC (MZUSP; MPEG)."
268,Motacillidae,,MPR:  ,,,,,
269,Motacillidae,Anthus correndera ,MPR:  ,caminheiro-de-espora,Correndera Pipit,,," occurs in Peru, Chile, Bolivia, Argentina, Uruguay and southern Brazil. The Brazilian subspecies A. c. correndera occurs in southern Paraguay, northern Argentina, Uruguay and extreme southern Brazil (Tyler, 2004). In Brazil, there are records for RS throughout the year, where it breeds (Belton, 1985; Maur�cio et al., 2013), and for SC in June, September and October (Azevedo & Ghizoni-Jr., 2005; WikiAves, 2016)."
270,Thraupidae,,MPR:  ,,,,,
271,Thraupidae,Tangara peruviana ,MPR:  ,sa�ra-sapucaia,Black-backed Tanager,VU,VU," is endemic to southern and southeastern Brazil in the Atlantic Forest. During austral winter, it migrates to RJ and ES (Hilty, 2011), as corroborated by photographic records (WikiAves, 2016) and banding data (SNA, 2016). Records for these states are centered in the period between April and September, while those for SP, PR and SC are in all months of the year, which suggests that part of the population is resident. Sparse records in May, August and September for RS and one localized record for BA in July seem to confirm the austral migration. In addition, there is also evidence of breeding activity in SP and PR (WikiAves, 2016)."
272,Thraupidae,Tersina viridis ,MPR:  ,sa�-andorinha,Swallow Tanager,,," occurs from Panama to eastern Brazil and northeastern Argentina, represented by resident populations as well as migratory populations that move short distances. Populations from the extreme south of the distribution (northern Argentina and southern Brazil) are migratory and fly north during austral winter (Hilty, 2011). In Brazil, it is present in RS only between September and April (Belton, 1985) and there are records of breeding activity in lowland Atlantic Forest areas in SP between September and March, which suggests that the species leaves this region between April and August (Aleixo & Galetti, 1997). Groups of 100 individuals or more have been reported between March and August in MG (Hilty, 2011). In the region of Garanhuns/PE, the species can be observed from May to September, which coincides with mistletoe fructification (W. Telino-J�nior, pers. obs.) and with the hypothesis of migration north during austral winter. In the region of Alter do Ch�o/PA, it is recorded only during the rainy season between January and June (Sanaiotti & Cintra, 2001). Photographic records (WikiAves, 2016) and banding data (SNA, 2016) do not confirm such patterns available in the literature, but in GO, MG, SP, PR, SC and RS the species presents breeding activity (September-December) related to the elevation: most records (78% or 18 out of 23) are from localities with an elevation of over 600 m. Breeding data from lower elevations need to be confirmed by the respective authors, because they may have been obtained in areas that are higher than the altitude of the center of the municipality (which is the available coordinate). The same altitudinal pattern has been observed for most of the young (72% or 8 out of 11) remaining over 600 m even though their records were more dispersed during the year. In the Amazon, its presence seems to be distributed in the months of the year, which suggests a pattern of regular occurrence, even though there are no records of breeding activity (WikiAves, 2016). This way, the species was classified as partially migratory due to its tendency of altitudinal restriction in breeding activity of the Atlantic Forest population and it needs to be studied further."
273,Thraupidae,Dacnis nigripes ,MPR:  ,sa�-de-pernas-pretas,Black-legged Dacnis,NT,," is endemic to Brazil and occurs in coastal areas in the southeast from BA to SC. It is an altitudinal migrant that can roam widely in its distribution (Hilty, 2011) as reported for the region of Mag�/RJ (Gonzaga, 1983), where flocks were recorded at sea level during winter (Sick, 1997). Photographic records of breeding activity are restricted to the period between November and February in localities over 600 m high in SP, which suggests that the species tends to occupy higher elevations during the breeding season and that it moves to lower areas in all other months (from March to October). However, this pattern is not observed in other states in which the species occurs, perhaps as a reflection of poor sampling. In RJ, records are centered in the period between March and September (MPEG; MNRJ; WikiAves, 2016) without an apparent altitudinal pattern. In SC and RS, records have elevations lower than 400 m and are centered in the period between June and January (WikiAves, 2016)."
274,Thraupidae,Sporophila lineola ,MPR:  ,bigodinho,Lined Seedeater,,," occurs in Bolivia, Paraguay, northern Argentina and Brazil and there are two different populations. The first one occurs in the south and nests in southeastern Brazil, northern Argentina and Paraguay between November and February, crosses through Central Brazil and Eastern Bolivia and reaches central and western Amazonia, Peru, Ecuador, and Colombia between May-June and September-October. The other breeds in the Caatinga region between January and MayJune, migrates to the region of the Llanos in Venezuela and the Guianas through eastern PA and Suriname from June to December, apparently determined by the rainfall regime. Despite these patterns, the species is recorded during almost the entire year in central and western Amazonia (Silva, 1995, 1999; D�Angelo-Neto & Vasconcelos, 2007) and it is not clear whether this is a resident population or individuals from different populations that visit this area at different times (Jaramillo & Kirwan, 2015). Photographic records are distributed in all months of the year (WikiAves, 2016). The migratory pattern in the Caatinga is corroborated by data from WikiAves: records are centered in the period between December and June. In RS, the few available records are centered in the period between December and May (WikiAves, 2016) and there is evidence of breeding activity (Maur�cio et al., 2013). There is also a possibility that there is a resident population in the Amazon, so the species was classified as partially migratory and further studies are necessary to confirm these patterns."
275,Thraupidae,Sporophila caerulescens ,MPR:  ,coleirinho,Double-collared Seedeater,,," occurs in Bolivia, Paraguay, Argentina, Uruguay and almost all of Brazil. Its movement pattern is not fully understood. Some populations are resident, while the ones further south of its distribution migrate north during winter and are recorded only seasonally in some areas such as eastern Peru and Central Brazil (Jaramillo, 2011a). In Argentina, large numbers of males are captured alone in November and December. It has been suggested that they leave first for winter migration north in February, since only females and their young that had yet to molt into full adult plumage were observed in the end of summer and beginning of fall. Populations from northeastern and northwestern Argentina are also peculiar: they migrate in different directions and for different distances (Ortiz & Capllonch, 2007). In Brazil, the species flies over the Pantanal when moving from the south to the north of the country especially in April, as well as when returning south in  September (Sick, 1997). However, photographic records for the Pantanal show its presence in MT between May and December and in MS from April to November and in February (WikiAves, 2016). In RS, most individuals seem to disappear during winter (Belton, 1985). There is evidence of breeding activity between September and May and it is restricted to GO and other states from the Southeast and South (Belton, 1985; Maur�cio et al., 2013; WikiAves, 2016), which suggests that the species is partially migratory. Further studies are still necessary to fully comprehend its movements."
276,Thraupidae,Sporophila bouvreuil ,MPR:  ,caboclinho,Copper Seedeater,,," occurs in Suriname and Brazil, from AP to northeastern SP (Machado & Silveira, 2010). It is resident in most of its distribution, but migratory in the south (Rising, 2011). Populations that breed in the Amazon seem to fly to the Cerrado or Caatinga, where they join resident populations that breed in these dominions and probably migrate only short distances. In the Atlantic Forest, part of the population is resident and remains all year round in this biome (Machado & Silveira, 2010). This species has been observed as part of flocks of over 1,000 individuals foraging in pastures in the Araguaia River Basin in southeastern PA, as reported in mid-September 2009, 2010 and 2013 (Cavarzere et al., 2015)."
